,0
"424 Cambridge St,Allston, MA 02134,",0.739248281291302 -1.2415060319314917
"25 Charles St,Boston, MA 02114,",0.7392894204471008 -1.240376548214716
"20 Custom House St,Boston, MA 02110,",0.7393091880462088 -1.2400925578381425
"340-350 Longwood Ave,Longwood Galleria,Boston, MA 02215,",0.7389692851743829 -1.241023661323484
"100 Hanover St,Boston, MA 02108,",0.7393705904746232 -1.2401441567521483
"272 Newbury St,Boston, MA 02116,",0.7391569246496003 -1.2406170982188724
"100 Tremont St,Boston, MA 02108,",0.7392979123465764 -1.2402253948475115
"31 Harrison Ave,Unit A,Boston, MA 02111,",0.7392004426891695 -1.2402297162827396
"9 Fish Pier St E,Boston, MA 02210,",0.7391881154286625 -1.2398149885278869
"728 Commonwealth Ave,Boston, MA 02215,",0.7391656722398113 -1.241016600593995
"284 Amory St,The Milky Way Lounge,Jamaica Plain, MA 02130,",0.7385562137369904 -1.2409844367938747
"288 Hanover St,Boston, MA 02113,",0.7394150571006409 -1.2401111831192548
"110 Huntington Ave,Boston, MA 02116,",0.739110669933764 -1.2405319235333812
"361 Hanover St,Boston, MA 02113,",0.7394263485082367 -1.240093294367087
"111 Salem St,Boston, MA 02113,",0.7394196892044755 -1.2401284095189722
"201 Stuart St,Boston, MA 02116,",0.7391845217957328 -1.2403473523469888
"84 Peterborough St,Boston, MA 02215,",0.7390516149731933 -1.2408850158583642
"95 Freeport St,Dorchester, MA 02122,",0.7383908402997054 -1.2401629949634299
"200 Berkeley St,Boston, MA 02116,",0.7391691236284071 -1.2404272884267298
"69 Berkeley St,Boston, MA 02116,",0.7391143857397413 -1.240394768579442
"160 Massachusetts Ave,Boston, MA 02115,",0.7391066277512164 -1.2406788366231674
"1 Blackfan Cir,Boston, MA 02115,",0.7389643249486488 -1.2409909014934242
"90 Beach St,Boston, MA 02111,",0.7391904402072264 -1.2401839092438565
"28 State St,Boston, MA 02109,",0.7393361743271032 -1.2401606090983421
"436 Western Ave,Brighton, MA 02135,",0.7393850932880427 -1.2416200150216163
"301 Huntington Ave,Boston, MA 02115,",0.7390184240468082 -1.240678742375388
"240 Commercial St,Boston, MA 02109,",0.7394125857144201 -1.2400548456363298
"57 Berkeley St,Boston, MA 02116,",0.739111166479936 -1.2403930738647388
"530 Washington St,Dorchester, MA 02124,",0.7381751743273595 -1.240411365787964
"26 Charles St,Boston, MA 02114,",0.7392891612657068 -1.2403804472802649
"14 Birch St,Roslindale, MA 02131,",0.7380686097592205 -1.241428173666225
"70 Staniford St,Boston, MA 02114,",0.7394012445649407 -1.2402776622226213
"272 Boylston St,Boston, MA 02116,",0.7392070129811386 -1.2403721508576657
"571 Tremont St,Boston, MA 02118,",0.739058447937215 -1.2404270379719824
"131 Tremont St,Boston, MA 02111,",0.7392758662201296 -1.2402470552561937
"1401 Washington St,Boston, MA 02118,",0.7390173166353978 -1.2403849144504855
"1 Chelsea St,Boston, MA 02129,",0.7395413212000475 -1.2402334303433877
"15 Union St,Boston, MA 02108,",0.739359596645665 -1.2401511197431991
"276 Friend St,Boston, MA 02114,",0.7394282221191886 -1.240233390200815
"1282 Boylston,Boston, MA 02215,",0.7390758689411439 -1.2408569178027362
"123 Stuart St,Boston, MA 02116,",0.7391926445580715 -1.240307139088358
"961 Commonwealth Ave,Boston, MA 02215,",0.7392000944959837 -1.2412399652136716
"1310 Dorchester Ave,Dorchester, MA 02122,",0.7384003366361654 -1.2401839293151429
"1076 Hyde Park Ave,Hyde Park, MA 02136,",0.7376425068209679 -1.2412814979412168
"4 Avery St,Fl 4,Equinox Sports Club,Boston, MA 02111,",0.7392253232303212 -1.2402641079956502
"113 Brighton Ave,Allston, MA 02134,",0.7392221353864424 -1.2414423640657084
"324 A St,Boston, MA 02210,",0.7391584308687448 -1.2400253164107153
