,0
"11 Blue Hill Ave,Roxbury, MA 02119,",0.7387316385254376 -1.2404767056791708
"28 Myrtle St,Boston, MA 02114,",0.7393317045388887 -1.240305517677483
"735 Morrissey Blvd,Dorchester, MA 02122,",0.7382180989549831 -1.2400107306941563
"264 Hanover St,Boston, MA 02113,",0.7394103639102824 -1.2401166704344235
"580 Dorchester Ave,Boston, MA 02127,",0.7388204984736443 -1.2401525875651003
"686 Morton St,Boston, MA 02126,",0.7380302657482188 -1.2407680849071328
"11 Thacher St,Boston, MA 02113,",0.7394395877032776 -1.2401518580174729
"353 Cambridge St,Allston, MA 02134,",0.7392724811540455 -1.2414738323521217
"11 1/2 Thacher St,Boston, MA 02113,",0.7394389829466919 -1.2401528266752075
"1330 Boylston St,Boston, MA 02215,",0.7390685638655595 -1.2408776863481703
"226 Faneuil Marketplace,Boston, MA 02109,",0.7392247909048995 -1.241941930530171
"371 Hanover St,Boston, MA 02113,",0.7394310102826689 -1.240088627356667
"1263 River St,Hyde Park, MA 02136,",0.7375294662086391 -1.2413220419397402
"73 River St,Mattapan, MA 02126,",0.7378007017190393 -1.240444825495054
"347 Centre St,Jamaica Plain, MA 02130,",0.7386945249715585 -1.2410179828947627
"568 Cambridge St,Allston, MA 02134,",0.7392115787624618 -1.241613218709509
"55 Causeway St,Boston, MA 02114,",0.7394210854678772 -1.2402601644242055
"4249 Washington St,Roslindale, MA 02131,",0.7380486789718274 -1.2414142372121477
"4168 Washington St,Roslindale, MA 02131,",0.7380863868103168 -1.2413676796816862
"10 Walk Hill St,Jamaica Plain, MA 02130,",0.7382258569435083 -1.2411822192500401
"258 Dudley St,Roxbury, MA 02119,",0.7387964033306559 -1.2405394197225184
"198 Marion St,Boston, MA 02128,",0.7396153214150024 -1.2397674920102877
"146 - 148 Belgrade Ave,Roslindale, MA 02131,",0.7380571499273519 -1.241547657161487
"85 Canal St,Boston, MA 02114,",0.7394206447722412 -1.240203043288446
"1443 Commonwealth Ave,Brighton, MA 02135,",0.7391500087824392 -1.2416108886949577
"150 Tremont St,Boston, MA 02111,",0.7392572252310539 -1.2402660086592057
"51 Brookline Ave,Boston, MA 02215,",0.7391234640698457 -1.2408806560258927
"205 L St,Boston, MA 02127,",0.7388452463697728 -1.2397782825083883
"662 Centre St,Jamaica Plain, MA 02130,",0.7385192022848724 -1.2411501732596442
"356 Tremont St,Boston, MA 02116,",0.7391445642278377 -1.240328983629276
"111 Chelsea St,Boston, MA 02128,",0.7395669871393623 -1.2397777737449112
"606 Congress St,Boston, MA 02210,",0.7391366683583016 -1.2398450457156
"1 Harborside Dr,East Boston, MA 02128,",0.7394248867949882 -1.2395328312757141
"200 Logan Airport,Terminal E,Boston, MA 02128,",0.7395090535528361 -1.23951580418751
"256 Marginal St,Boston, MA 02128,",0.739407494588992 -1.239737694876633
"580 Commonwealth Ave,Boston, MA 02215,",0.7391526773908655 -1.240897257597738
"319 Hanover St,Boston, MA 02113,",0.7394161269874725 -1.2401044880362442
"122 Seaver St,Dorchester, MA 02121,",0.7384707091842705 -1.240759337316922
"237 Newbury St,Boston, MA 02116,",0.7391678443020653 -1.2405928398875987
"764 E 4th St,Boston, MA 02127,",0.7389069516128127 -1.2397463202937964
"772 Tremont St,Boston, MA 02118,",0.7389859495780811 -1.2405525812504077
"1159 Washington St,Dorchester, MA 02124,",0.737813412079317 -1.2403623316352939
"140 Norfolk St,Dorchester, MA 02124,",0.7380845620685837 -1.2405215545322947
"330 Belgrade Ave,Roslindale, MA 02131,",0.7380528206381424 -1.2416934034986689
"612 Blue Hill Ave,Dorchester, MA 02121,",0.7383543219031012 -1.2406445400307011
"863 Washington St,Boston, MA 02124,",0.737976428449447 -1.2404030972906328
"Boston, MA 02110,",0.7394057338957548 -1.2399778937256312
"239 Dudley St,Roxbury, MA 02119,",0.7387938368239909 -1.2405531615723842
"870 Blue Hill Ave,Dorchester Center, MA 02124,",0.7382120679697528 -1.2406899142279297
"46 Washington St,Dorchester, MA 02121,",0.7384219071603909 -1.240593366104368
"313 Old Colony Ave,Boston, MA 02127,",0.7388135695165139 -1.2400815910617875
"177 Massachusetts Ave,Boston, MA 02115,",0.7390975406944656 -1.2406836493685798
"Boston, MA 02127,",0.739130319194461 -1.2393053817129236
"2 Brighton Ave,Boston, MA 02134,",0.7392071142102352 -1.2413512508974371
"5200 Washington St,West Roxbury, MA 02132,",0.7376200112722389 -1.2418988776208477
"1918 Dorchester Ave,Dorchester, MA 02124,",0.7380172525733159 -1.2402897599723313
"856 Dorchester Ave,Dorchester, MA 02125,",0.7386736604330155 -1.2401494904783423
"7 Moulton St,Boston, MA 02129,",0.7396368090360885 -1.2401474807317088
"726 E Broadway,Boston, MA 02127,",0.738922014676922 -1.2397918742599379
"356 Chestnut Hill Ave,Boston, MA 02135,",0.7389404793877434 -1.2418044212743944
"3712 Washington St,Jamaica Plain, MA 02130,",0.7383008930113748 -1.2411360928159036
"736 Centre St,Jamaica Plain, MA 02130,",0.7384859624892683 -1.2411598162037614
"1882 Centre St,West Roxbury, MA 02132,",0.7380483386326233 -1.241875328765915
"130 Dartmouth St,Boston, MA 02116,",0.7391064942335286 -1.2404915226518558
"1885 Centre St,West Roxbury, MA 02132,",0.7380509295738978 -1.2418794503609438
"10 Fairmount Ave,Boston, MA 02136,",0.7375250863048814 -1.2412709299725957
"188 Baker St,West Roxbury, MA 02132,",0.7378800941287186 -1.242080034943223
"1357 Blue Hill Ave,Mattapan, MA 02126,",0.7379058551884783 -1.2407955179923158
"1590 Tremont St,Boston, MA 02120,",0.7388827735666846 -1.240957964512445
"69 Heath St,Jamaica Plain, MA 02130,",0.7387606127363499 -1.2409151175519737
"960 William T Morrissey Blvd,Boston, MA 02122,",0.7381538324412662 -1.2399787169923517
"1405 Washington St,Boston, MA 02118,",0.7390167144968057 -1.2403860611318038
"712 Commonwealth Ave,Ste 2,Boston, MA 02215,",0.739164659948845 -1.2410025245135776
"452 Huntington Ave,Boston, MA 02115,",0.7389720585025642 -1.2407824402402305
"Kenmore Square,645 Beacon St,Boston, MA 02215,",0.7391443914402417 -1.2408677938219699
"566 Columbia Rd,Dorchester, MA 02125,",0.7385868041227901 -1.2403131744369116
"683 Tremont St,Boston, MA 02118,",0.7390218300568433 -1.2404959872040824
"20 Charles St,Boston, MA 02114,",0.7392865066199145 -1.2403805581086724
"140 Clarendon St,Boston, MA 02116,",0.7391474422757741 -1.2404580454914733
"275 Washington St,Boston, MA 02201,",0.739306602340922 -1.2401743727648238
"Boston Logan Int'l Airport 200,Terminal BA2-A15,East Boston, MA 02128,",0.7394573554990412 -1.239496847822526
"300 Terminal Dr,Charlestown, MA 02129,",0.7397072950305948 -1.2400122220780023
"56 L St,South Boston, MA 02127,",0.7389327275078706 -1.2397771785876361
"252 Friend St,Boston, MA 02114,",0.7394244417360288 -1.2402292476618357
"1946 Centre St,West Roxbury, MA 02132,",0.7380123551794351 -1.2418972675546127
"415 Summer St,Boston Convention Ctr,Boston, MA 02210,",0.7391038352244131 -1.2399565780194766
"300 Terminal C,Pier B,Boston, MA 02128,",0.7394608685028473 -1.2394590748781682
"58 Hemenway St,Boston, MA 02115,",0.7390798116399239 -1.2407221705305005
"9 Barnes Ave,Boston, MA 02128,",0.7397997442484084 -1.239253652243202
"460 Centre St,Jamaica Plain, MA 02130,",0.7386362693717854 -1.2411089433467242
"Pi Aly,Boston, MA 02108,",0.7393141334366444 -1.2401903015122417
"817 Harrison Ave,Boston, MA 02118,",0.7389195685979754 -1.2404584556438478
"367 Centre St,Jamaica Plain, MA 02130,",0.7386888404341847 -1.2410548171959614
"902 S St,Roslindale, MA 02131,",0.7380975063029812 -1.2415144540177974
"171 Milk St,Boston, MA 02109,",0.7393162496483625 -1.2400908666140973
"1400 Tremont St,Roxbury Crossing Station - Space D,Roxbury Crossing, MA 02120,",0.7388467805141855 -1.2408188783516891
"1880 William J Day Blvd,Boston, MA 02127,",0.7389424088492312 -1.2395785417928022
"Boston, MA 02128,",0.7399895116239621 -1.238878233322449
"735 Huntington Ave,Boston, MA 02115,",0.738893482906975 -1.240999495494661
"Hyde Park, MA 02136,",0.7379077719039752 -1.2408823076360516
"1222 Arsenal St,c, MA 02135,",0.7393741099310599 -1.2417127059675312
"Boston, MA 02144,",0.740335716879717 -1.2409992935651541
"416 Tremont St,Boston, MA 02116,",0.7391150568188388 -1.2403598881743412
"870 Blue Hill Ave,Dorchester, MA 02121,",0.7382120679697528 -1.2406899142279297
"52 Summer St,Boston, MA 02110,",0.7392481687175653 -1.2401875255660666
"855 River St,Mattapan, MA 02126,",0.7376483475653096 -1.2410525648485617
