,0
"177 Massachusetts Ave,Boston, MA 02115,",3.85
"Boston, MA 02127,",2.67
"2 Brighton Ave,Boston, MA 02134,",8.51
"5200 Washington St,West Roxbury, MA 02132,",19.14
"1918 Dorchester Ave,Dorchester, MA 02124,",3.11
"856 Dorchester Ave,Dorchester, MA 02125,",1.3
"7 Moulton St,Boston, MA 02129,",7.46
"726 E Broadway,Boston, MA 02127,",2.49
"356 Chestnut Hill Ave,Boston, MA 02135,",9.94
"3712 Washington St,Jamaica Plain, MA 02130,",5.1
"736 Centre St,Jamaica Plain, MA 02130,",5.72
"1882 Centre St,West Roxbury, MA 02132,",8.39
"130 Dartmouth St,Boston, MA 02116,",4.04
"1885 Centre St,West Roxbury, MA 02132,",8.39
"10 Fairmount Ave,Boston, MA 02136,",9.32
"188 Baker St,West Roxbury, MA 02132,",20.07
"1357 Blue Hill Ave,Mattapan, MA 02126,",5.47
"1590 Tremont St,Boston, MA 02120,",4.54
"69 Heath St,Jamaica Plain, MA 02130,",4.66
"960 William T Morrissey Blvd,Boston, MA 02122,",2.17
"1405 Washington St,Boston, MA 02118,",3.36
"712 Commonwealth Ave,Ste 2,Boston, MA 02215,",7.95
"452 Huntington Ave,Boston, MA 02115,",4.23
"Kenmore Square,645 Beacon St,Boston, MA 02215,",7.95
"566 Columbia Rd,Dorchester, MA 02125,",1.93
"683 Tremont St,Boston, MA 02118,",3.48
"20 Charles St,Boston, MA 02114,",5.97
"140 Clarendon St,Boston, MA 02116,",3.79
"275 Washington St,Boston, MA 02201,",4.97
"Boston Logan Int'l Airport 200,Terminal BA2-A15,East Boston, MA 02128,",6.59
"300 Terminal Dr,Charlestown, MA 02129,",7.95
"56 L St,South Boston, MA 02127,",2.61
"252 Friend St,Boston, MA 02114,",5.72
"1946 Centre St,West Roxbury, MA 02132,",8.57
"415 Summer St,Boston Convention Ctr,Boston, MA 02210,",4.04
"300 Terminal C,Pier B,Boston, MA 02128,",6.77
"58 Hemenway St,Boston, MA 02115,",3.91
"9 Barnes Ave,Boston, MA 02128,",8.39
"460 Centre St,Jamaica Plain, MA 02130,",5.53
"Pi Aly,Boston, MA 02108,",4.72
"817 Harrison Ave,Boston, MA 02118,",2.92
"367 Centre St,Jamaica Plain, MA 02130,",5.16
"902 S St,Roslindale, MA 02131,",7.52
"171 Milk St,Boston, MA 02109,",4.85
"1400 Tremont St,Roxbury Crossing Station - Space D,Roxbury Crossing, MA 02120,",4.1
"1880 William J Day Blvd,Boston, MA 02127,",3.11
"Boston, MA 02128,",7.02
"735 Huntington Ave,Boston, MA 02115,",4.66
"Hyde Park, MA 02136,",9.94
"1222 Arsenal St,c, MA 02135,",8.95
"Boston, MA 02144,",11.06
"416 Tremont St,Boston, MA 02116,",3.36
"870 Blue Hill Ave,Dorchester, MA 02121,",3.79
"52 Summer St,Boston, MA 02110,",3.79
"855 River St,Mattapan, MA 02126,",6.46
